repo,osv_total,in_graph,explicit_direct,implicit_direct,transitive,true_transitive,transitive_density_strict_pct,unique_findings,unique_called,unique_imported,unique_required,deps_explicit_direct,deps_implicit_direct,deps_transitive,max_depth,total_modules_in_graph,avg_vuln_age_days,median_vuln_age_days,pct_over_90_days,pct_over_365_days,avg_inertia_tags,max_inertia_tags,tags_total
0xERR0R/blocky,247,104,59,45,0,45,43.27,13,0,9,4,44,142,336,2,630,823,835,76.0,63.5,10,21,36
0xJacky/nginx-ui,312,169,114,45,10,55,32.54,21,8,9,4,64,292,770,2,3091,779,695,79.9,70.4,97,201,201
5rahim/seanime,246,103,86,17,0,17,16.50,26,10,2,14,59,132,408,2,864,734,695,74.8,59.2,1,1,1
6boris/awesome-golang-algorithm,155,12,0,12,0,12,100.00,0,0,0,0,3,16,54,2,75,1090,1311,91.7,91.7,0,0,1
99designs/aws-vault,159,5,0,5,0,5,100.00,3,2,1,0,15,15,19,2,63,783,890,80.0,60.0,10,25,120
99designs/gqlgen,166,23,19,3,1,4,17.39,0,0,0,0,19,6,30,2,57,1066,1267,91.3,82.6,57,95,132
9seconds/mtg,219,76,73,3,0,3,3.95,21,0,1,20,23,22,79,2,163,781,853,71.1,63.2,12,28,48
a-h/templ,188,45,41,3,1,4,8.89,8,5,1,2,14,6,20,2,43,881,1085,80.0,73.3,37,85,85
aandrew-me/tgpt,235,92,0,92,0,92,100.00,34,3,1,30,11,53,120,2,263,743,784,72.8,60.9,39,88,88
aarondl/sqlboiler,188,45,0,35,10,45,100.00,13,0,0,13,17,47,129,2,636,801,892,68.9,62.2,12,37,94
abiosoft/colima,159,5,2,3,0,3,60.00,0,0,0,0,11,8,18,2,40,874,1375,80.0,60.0,22,36,64
aceld/zinx,217,74,1,73,0,73,98.65,21,0,1,20,4,14,14,2,104,770,800,70.3,62.2,1,1,1
achannarasappa/ticker,166,23,4,18,1,19,82.61,1,0,1,0,17,207,361,2,1061,1172,1368,91.3,82.6,26,42,89
actions/actions-runner-controller,237,94,51,43,0,43,45.74,21,2,1,18,36,166,564,2,832,825,838,76.6,68.1,29,94,148
AdguardTeam/AdGuardHome,232,89,82,4,3,7,7.87,20,1,1,18,31,68,389,2,513,790,785,73.0,62.9,77,191,250
AdguardTeam/dnsproxy,228,85,53,32,0,32,37.65,20,1,1,18,13,62,303,2,380,810,856,74.1,63.5,1,1,1
adnanh/webhook,162,8,5,3,0,3,37.50,1,0,1,0,10,4,9,2,27,1047,1391,87.5,62.5,2,3,33
agones-dev/agones,242,99,52,47,0,47,47.47,23,2,1,20,47,79,499,2,1165,884,960,76.8,69.7,26,63,115
ahmetb/kubectl-tree,198,55,4,50,1,51,92.73,8,2,1,5,11,52,148,2,224,978,1231,83.6,78.2,5,8,14
ahmetb/kubectx,198,55,4,50,1,51,92.73,8,2,1,5,7,39,88,2,148,978,1231,83.6,78.2,3,5,24
air-verse/air,164,21,5,5,11,16,76.19,1,0,1,0,9,18,202,2,235,1078,1267,90.5,90.5,38,64,74
akuity/kargo,311,168,75,89,4,93,55.36,19,2,16,1,86,181,803,2,1117,800,723,82.7,69.6,124,203,203
alecthomas/chroma,155,0,0,0,0,0,0.00,0,0,0,0,3,1,2,2,8,,,,,,,1
alecthomas/kingpin,155,0,0,0,0,0,0.00,0,0,0,0,3,3,2,2,18,,,,,,,60
alecthomas/kong,155,0,0,0,0,0,0.00,0,0,0,0,2,1,1,2,6,,,,,,,73
alecthomas/participle,155,0,0,0,0,0,0.00,0,0,0,0,2,1,1,2,6,,,,,,,37
alexei-led/pumba,235,92,35,56,1,57,61.96,9,0,0,9,13,57,310,2,477,793,678,87.0,77.2,1,1,1
alexellis/arkade,189,46,30,6,10,16,34.78,0,0,0,0,17,23,69,2,111,697,614,65.2,56.5,90,231,324
alexellis/k3sup,191,48,29,9,10,19,39.58,14,5,8,1,8,14,88,2,113,716,614,66.7,58.3,12,33,132
AlexxIT/go2rtc,227,84,78,3,3,6,7.14,22,5,6,11,24,19,45,2,98,776,678,73.8,61.9,27,67,67
alicebob/miniredis,155,1,0,0,1,1,100.00,0,0,0,0,1,0,4,2,7,1413,1413,100.0,100.0,1,1,1
AlistGo/alist,300,157,103,49,5,54,34.39,36,22,5,9,93,212,721,2,1316,812,804,80.3,68.2,1,1,1
allegro/bigcache,155,0,0,0,0,0,0.00,0,0,0,0,0,0,0,1,2,,,,,,,25
amacneil/dbmate,230,87,0,87,0,87,100.00,20,1,1,18,11,62,437,2,1311,770,785,73.6,64.4,24,49,67
amalshaji/portr,238,95,42,53,0,53,55.79,21,7,3,11,30,63,211,2,345,750,785,74.7,63.2,1,1,1
amir20/dozzle,261,118,55,61,2,63,53.39,6,6,0,0,34,121,377,2,606,746,692,74.6,61.0,150,331,553
amitshekhariitbhu/go-backend-clean-architecture,229,86,35,51,0,51,59.30,40,5,4,31,6,41,102,2,579,862,985,74.4,67.4,0,0,0
AnalogJ/scrutiny,232,89,6,83,0,83,93.26,21,0,3,18,17,66,223,2,318,780,785,75.3,61.8,12,42,54
anchore/grype,307,164,47,116,1,117,71.34,21,10,11,0,75,260,997,2,2067,722,646,80.5,67.1,65,180,203
anchore/syft,273,130,59,69,2,71,54.62,20,8,12,0,96,219,881,2,1927,750,698,77.7,63.8,76,226,259
andeya/pholcus,221,78,43,35,0,35,44.87,55,16,4,35,15,30,34,2,93,827,960,71.8,64.1,1,1,1
ankitpokhrel/jira-cli,192,49,0,48,1,49,100.00,10,0,8,2,22,49,137,2,249,967,1267,81.6,75.5,6,18,18
anthonynsimon/bild,162,7,7,0,0,0,0.00,2,0,0,2,2,2,5,2,13,585,702,57.1,57.1,1,1,1
antoniomika/sish,240,97,35,62,0,62,63.92,21,8,4,9,17,60,138,2,278,860,938,77.3,64.9,14,36,66
antonmedv/fx,160,6,0,6,0,6,100.00,1,0,1,0,15,21,50,2,89,1287,1413,83.3,83.3,29,45,89
antonmedv/walk,162,8,2,6,0,6,75.00,3,2,1,0,10,14,35,2,61,1039,1369,87.5,75.0,13,22,22
apache/answer,246,103,89,12,2,14,13.59,31,2,12,17,51,108,324,2,1070,879,1030,74.8,67.0,1,1,1
apache/casbin,155,0,0,0,0,0,0.00,0,0,0,0,3,0,0,1,5,,,,,,,1
apache/dubbo-admin,262,119,16,103,0,103,86.55,31,7,11,13,39,199,636,2,1799,838,814,76.5,66.4,2,5,7
apache/dubbo-go,244,101,58,43,0,43,42.57,27,7,2,18,64,80,466,2,1502,827,892,75.2,64.4,12,36,67
apecloud/kubeblocks,155,12,1,11,0,11,91.67,0,0,0,0,56,99,486,2,1160,1090,1311,91.7,91.7,70,81,81
appleboy/gorush,256,113,83,29,1,30,26.55,21,2,1,18,39,111,602,2,903,775,783,77.9,66.4,12,24,53
aquasecurity/kube-bench,208,65,8,56,1,57,87.69,8,2,1,5,17,69,108,2,267,947,1197,83.1,75.4,1,1,1
aquasecurity/tfsec,262,119,3,116,0,116,97.48,39,11,18,10,17,121,622,2,1555,820,856,79.0,68.1,1,1,1
aquasecurity/tracee,155,12,1,11,0,11,91.67,0,0,0,0,37,126,614,2,1793,1090,1311,91.7,91.7,36,52,88
aquasecurity/trivy,239,96,83,11,2,13,13.54,20,0,0,20,126,362,1758,2,2400,736,719,72.9,62.5,45,130,183
ardanlabs/gotraining,155,0,0,0,0,0,0.00,0,0,0,0,6,9,32,2,74,,,,,,,0
ardanlabs/service,244,101,49,52,0,52,51.49,0,0,0,0,20,48,198,2,272,768,771,75.2,65.3,0,0,0
arduino/arduino-cli,241,98,21,77,0,77,78.57,19,7,7,5,41,151,606,2,817,743,740,74.5,61.2,34,107,199
argoproj/argo-cd,327,184,115,63,6,69,37.50,2,2,0,0,124,188,885,2,1749,745,646,84.8,73.4,190,430,578
argoproj/argo-rollouts,296,153,63,90,0,90,58.82,26,4,7,15,54,149,675,2,1584,794,646,84.3,77.1,19,55,84
argoproj/argo-workflows,203,60,51,7,2,9,15.00,6,0,0,6,107,243,1007,2,1664,928,1184,80.0,75.0,76,242,387
ariga/atlas,159,6,1,3,2,5,83.33,0,0,0,0,10,12,29,2,54,1517,1418,100.0,100.0,89,104,104
arl/statsviz,156,12,1,1,10,11,91.67,0,0,0,0,2,2,11,2,18,1128,1311,91.7,91.7,7,11,17
arp242/goatcounter,227,84,84,0,0,0,0.00,23,2,1,20,39,6,29,2,77,767,785,70.2,60.7,3,12,29
ArvinLovegood/go-stock,255,112,51,61,0,61,54.46,28,14,10,4,42,141,570,2,1521,833,800,78.6,69.6,1,1,1
asaskevich/govalidator,155,0,0,0,0,0,0.00,0,0,0,0,0,0,0,1,2,,,,,,,16
asynkron/protoactor-go,236,93,55,38,0,38,40.86,23,4,1,18,33,78,244,2,502,838,939,75.3,65.6,1,4,4
authelia/authelia,244,101,86,12,3,15,14.85,0,0,0,0,50,60,177,2,293,734,695,74.3,63.4,31,91,228
authzed/spicedb,259,116,18,85,13,98,84.48,0,0,0,0,109,130,677,2,1063,703,692,75.9,62.9,51,125,125
autobrr/qui,249,106,96,9,1,10,9.43,20,7,12,1,44,56,375,2,705,739,699,72.6,61.3,21,30,30
